,rent_cost,Area_m2,rooms,Dictrict_8,Dishwasher,Shower_cabin,Bathroom_combined_3,Distance_from_Cremlin,Bathroom_combined_2,Repair_disigne,Ceiling_height_m,Bathroom_combined_4,Parking_underground,Air_conditioner,Repair_cosmetic,House_panel,Bathroom_separate_3,ulitsa_dvor,Bathroom_combined_1,Bathroom_separate_4,House_monolithic_brick,Telephone,House_noun,dvor,Bathroom_combined_0,Television,Parking_paid_yard,House_monolithic,Bathroom_separate_2,Dictrict_1,Dictrict_10,House_block,Pass_lift_1,You_can_with_animals,Dictrict_2,Dictrict_6,Bathroom_separate_1,House_oldfond,Dictrict_9,Loggia_1
11225,80000.0,82.0,3.0,0,True,False,0,9.38,0,0,2.99,0,1,True,0,0,0,0,1,0,0,False,0,0,0,False,0,0,0,0,0,0,1,True,0,0,0,0,0,0
11226,80000.0,53.0,1.0,0,True,False,0,9.28,0,0,2.99,0,0,True,0,0,0,0,1,0,0,False,0,0,0,True,0,0,0,0,0,0,0,False,0,0,0,0,0,1
11227,80000.0,53.0,2.0,0,False,False,0,9.28,0,0,2.99,0,1,False,0,0,0,0,1,0,1,True,0,1,0,True,0,0,0,0,0,0,1,False,0,0,0,0,0,0
11228,85000.0,60.0,2.0,0,True,False,0,9.39,0,0,2.99,0,0,False,1,0,0,0,1,0,0,True,0,0,0,True,0,0,0,0,0,0,1,True,0,0,0,0,0,0
11229,85000.0,120.0,4.0,0,True,False,0,9.5,0,0,2.99,0,0,False,0,0,0,0,1,0,0,True,0,0,0,True,1,0,0,0,0,0,1,True,1,0,0,0,0,0
11230,85000.0,64.3,2.0,0,True,False,0,9.89,0,0,2.99,0,0,True,0,0,0,0,1,0,1,False,0,1,0,True,1,0,0,0,0,0,0,False,0,0,1,0,0,0
11231,85000.0,58.0,2.0,0,True,False,0,10.01,0,0,2.8,0,0,True,0,0,0,0,0,0,0,True,0,1,1,True,1,1,0,0,0,0,1,False,0,0,1,0,0,1
11232,90000.0,65.0,2.0,0,True,True,0,9.28,0,1,2.99,0,1,True,0,0,0,0,1,0,0,False,1,1,0,True,0,0,0,0,0,0,0,False,0,0,0,0,0,1
11233,90000.0,59.0,2.0,0,True,True,0,9.41,0,0,2.99,0,0,True,0,0,0,0,1,0,0,False,0,1,0,True,1,0,0,0,0,0,1,False,0,0,0,0,0,0
11234,90000.0,90.0,3.0,0,True,False,0,10.02,1,0,2.99,0,0,True,0,0,0,0,0,0,0,False,0,1,0,True,0,0,0,0,0,0,0,False,1,0,0,0,0,1
